"user","post","date"
"0086er.bsky.social","YAY, Seattle Seahawks 😍.......","2026-02-18T10:27:55.627Z"
"0086er.bsky.social","When Trump finally makes himself the Dictator of America, the first thing he's going to do is take your guns. Dictators don't let anyone have weapons for fear of a revolt. Read about Hitler's """"Night of the Long Knives"""" if you want to see what Trump supporters can expect.","2026-02-17T18:48:35.995Z"
"0086er.bsky.social","“If this guy isn’t impeached and removed, what’s the point to the whole Constitution? You can’t have a fucking criminal running the government for his own benefit screwing the people. And that’s what we have.”","2026-02-17T20:57:29.341Z"
"0086er.bsky.social","Why are no states investigating the people named in the Epstein files?","2026-02-16T21:40:10.431Z"
"0086er.bsky.social","Pedophile trump is the defender of dictators and the destroyer of Democracies. He is NOT an American. He is a Russian Operative and Asset. He works for Putin, and so does EVERY Republican.","2026-02-16T14:20:47.161Z"
"0086er.bsky.social","Linda Davis, a beloved Savannah teacher, is dead. Her car was hit by a suspect fleeing from ICE. Chatham County, Georgia has a no-chase policy. ICE still chased the suspect through a school zone. ICE agents did not directly kill Linda Davis, but their actions contributed to her death.","2026-02-17T14:39:47.978Z"
"0086er.bsky.social","1. It’s in fascist America 2. It’s ridiculously expensive 3. FIFA is a joke organisation 4. If you are a person of colour you will end up in a concentration camp 5. If you have called Trump a turd on social media you won’t get in 6. It will be ruined by American crap","2026-02-17T08:05:13.585Z"
"0086er.bsky.social","How are Americans not in the streets with pitchforks","2026-02-16T04:15:19.272Z"
"0086er.bsky.social","Love this .As a West Australian in Perth I approve this message @meidascanada.ca @meidastouch.com #USA #USpol","2026-02-16T08:22:55.438Z"
"0086er.bsky.social","HAPPY PRESIDENT'S DAY for all our American friends. Not for your imposter president, but for all the good ones of the past who cared about the American people, the construction & democracy. This Canadian hopes you get your country back soon, we miss our American friends. Cheers 🍻 for better days. 😘🥰","2026-02-16T12:46:48.498Z"
"0086er.bsky.social","ICE located over 3000 missing children in Minnesota? WTF? And no other explanation and we’re all supposed to believe this? There were over 3000 children taken into federal custody by ICE separated from their parents. Something doesn’t add up here.","2026-02-16T00:59:15.482Z"
"0086er.bsky.social","The MAGA GOP. That’s what the hell is wrong with this country.","2026-02-16T02:18:43.249Z"
"0086er.bsky.social","Democrats should propose amendments to the SAVE act that require the government to furnish free IDs to all eligible voters before requiring them, automatically register all people to vote, expand mail-in voting, and create a national voting holiday. Then watch republicans block them.","2026-02-15T23:32:04.219Z"
"0086er.bsky.social","So the Epstein files are bringing down everyone except those in the United States, do i have that right?","2026-02-16T01:08:01.343Z"
"0086er.bsky.social","Every ICE officer who has broken the law should be arrested, tried, and imprisoned for their crimes.","2026-02-15T23:27:12.353Z"
"0086er.bsky.social","Nothing against Nancy Guthrie here. If they spent half the time they are spending looking for her abductor on the Epstein files, criminals, they would be in jail already.","2026-02-15T11:36:44.274Z"
"0086er.bsky.social","I want these administration officials put into general population when they finally go to prison","2026-02-15T15:07:39.904Z"
"0086er.bsky.social","Another Oprah pick...Dr. Oz, also in the Epstein files or Dr. Phil, bankrupt huckster. She has made tens of millions foisting the worst men on the country...and never apologized or accepted responsibility. If Oprah endorses someone....run like hell to get away.","2026-02-14T23:31:25.559Z"
"0086er.bsky.social","Yeah sure Storm the Capital, Change Laws of the Constitution, force Americans to get and pay for unobtainable requirements to vote..to weed out the (avg) of 4 illegal immigrant votes per Election","2026-02-15T15:04:47.916Z"
"0086er.bsky.social","bsky.app/profile/mjfr...","2026-02-15T03:43:36.078Z"
"0086er.bsky.social","🙏🌎 - A Europe-based project aimed at unmasking US ICE agents is racking up millions of views, and mobilizing hundreds of volunteers in the process. The site, known as the “ICE List,” traces back to June, after HSS Kristi Noem warned that Americans who publicly identify ICE agents could face arrest.","2026-02-15T08:13:32.743Z"
"0086er.bsky.social","“I’ve never protested before - but I just watched 4th & 5th grade kids run away from our own government.” 😕🇺🇸💔 (From @crindivisible.bsky.social )","2026-02-15T00:45:31.147Z"
"0086er.bsky.social","Just a thought. . .","2026-02-14T13:37:00.735Z"
"0086er.bsky.social","Yes I do","2026-02-13T11:27:03.197Z"
"0086er.bsky.social","When a person who tried to steal an election with an orchestrated insurrection tells you he’s going to protect future elections, you’re fucked. The time to deal with him is now America. The rest of us are doing our part. Your turn. Sincerely, The Free World","2026-02-13T23:47:11.453Z"
"0086er.bsky.social","If ICE still stands for """"Immigration and Customs Enforcement"""" then why do Republicans want them anywhere near a polling location?","2026-02-12T20:00:36.955Z"
"0086er.bsky.social","Dems, Libs. Please. We have reached the point where the law and politics will no longer help us. Trump isn't following the rules. No one is holding him accountable. There is no system in place to deal with corruption controlling all three branches of government. It's time for unconventional means","2026-02-12T19:34:35.043Z"
"0086er.bsky.social","Bondage Is Queen Of The Coverup........","2026-02-12T10:08:15.608Z"
"0086er.bsky.social","Trump is suing for privacy violations about his tax returns while his administration shares taxpayers’ data with ICE. The height of hypocrisy has a price tag: $10 billion. Maybe it’s time for a class-action lawsuit from the taxpayers too. 🔄","2026-02-12T18:26:55.395Z"
"0086er.bsky.social","Cartoon by @andertoon.bsky.social.","2026-02-12T21:02:22.647Z"
"0086er.bsky.social","Ending this operation is not enough. We need justice and accountability. That starts with independent investigations into the murders of Renee Good and Alex Pretti, economic restitution for businesses impacted, abolishing ICE, and the impeachment of Kristi Noem.","2026-02-12T17:07:55.546Z"
"0086er.bsky.social","Listen folks, Pam Bondi was Attorney General of Florida from 2011 to 2019 so she's been covering up Epstein's crimes for a loooooong-ass time","2026-02-12T03:16:49.889Z"
"0086er.bsky.social","Sure, child sex trafficking is bad. But did you know the Dow is doing well?","2026-02-11T23:14:11.340Z"
"0086er.bsky.social","IT WAS DISCOVERED YESTERDAY that liar Trump is in the un-redacted Epstein files OVER A MILLION TIMES! Bondi, Patel, FBI ILLEGALLY REDACTED OUT OVER 95% of all Trump material; though the Epstein Transparency Act instructs them to redact ONLY to protect victims or ongoing prosecutions (which is zero).","2026-02-11T15:17:29.420Z"
"0086er.bsky.social","Iran! 🤷🏼 How about corruption!? How about healthcare?! How about Epsteinfiles!? And why the fuck is airspace in your f'n part of hell closed for security purposes?!? Fuck Iran...and you! 🖕🏼","2026-02-11T13:48:46.521Z"
"0086er.bsky.social","Lying Lutnick must resign","2026-02-10T15:56:46.000Z"
"0086er.bsky.social","4 months after Trump pardoned Binance founder Changpeng Zhao, Forbes reports that Binance now holds $4.7 billion of the $5.4 billion supply of Trump’s World Liberty Financial stablecoin. That is 87%. It is the largest corruption scandal in the history of the US presidency.","2026-02-10T14:07:27.206Z"
"0086er.bsky.social","When you've lost this piece of shit.","2026-02-11T12:09:29.923Z"
"0086er.bsky.social","On every important vote that matters, Susan Collins votes with Trump. Every time her vote could stop something he’s trying to do, she votes with him. She is a fake moderate with a MAGA voting record. A vote for Susan Collins is a vote to give Trump more power.","2026-02-11T01:35:59.856Z"
"0086er.bsky.social","Rep. Walkinshaw leaving today’s ICE hearing: “All of this comes from Stephen Miller’s sick, twisted, deranged Great Replacement Theory.” He says when Dems have the majority they will subpoena Miller to testify: “If he doesn’t he will end up in prison for contempt.” @pabloreports.bsky.social","2026-02-10T19:04:33.673Z"
"0086er.bsky.social","Congress needs to step in and investigate not only Lutnick but also investigate Pam Bondi, Kash Patel and all other enablers. Investigate everyone that touched Epstein. Lutnick blatantly lied about his ties to Epstein. His arrogance made him believe that he was above the law; he is not.","2026-02-10T23:28:29.742Z"
"0086er.bsky.social","The Republican Political Party is doing a great job informing Greenlanders of what kind of discrimination they would be up against becoming part of the U.S. ~ Puerto Rico is an example of how assimilation into U.S. culture is a trauma. Thanks to #JesseWatters #TommyTuberville #POTUS #JDVance #TPUSA","2026-02-10T23:01:01.677Z"
"0086er.bsky.social","TO RECAP: - The president will grant the most notorious living sex trafficker on the planet clemency, if she testifies that he’s innocent - They don’t want you to believe the thousands of women who were victims of Epstein - But they do expect you to believe ONE woman, Ghislaine Maxwell","2026-02-10T13:56:38.344Z"
"0086er.bsky.social","Here is my conclusion after sitting through Maxwell's deposition with her refusing to answer a single question about the men who raped underage girls, saying she would only do so for clemency. She must immediately be sent back to the maximum security prison where she belongs.","2026-02-10T00:41:46.954Z"
"0086er.bsky.social","Bring back firing squads for anyone involved. Don’t care who.","2026-02-09T20:45:45.071Z"
"0086er.bsky.social","Howard Lutnick claimed he vowed-in 2005-that he would never spend time with Jeffrey Epstein Yet it appears the relationship between them became so close-even after Epstein was convicted of a child prostitution charge in 2008-that Lutnick apparently went to Epstein’s island IN 2012 Lutnick must go","2026-02-09T18:38:46.571Z"
"0086er.bsky.social","Our Pedophile President wants us to think he gives a shit about the children. Give me a damn break. I personally loved the music and the cultural influences of Puerto Rico! Btw, I’m an old white lady!","2026-02-09T02:35:00.581Z"
"0086er.bsky.social","SHUUUUT UUUUP YOU DISGUSTING ORANGE PEDOPHILE! Nobody cares what you think! Everybody on the face of the earth hates you, and No one trusts you! 🤬🤬🤬","2026-02-09T02:12:39.087Z"
"0086er.bsky.social","The US deficit is approaching ww2 levels as a percent of GDP. Because of the “Big Beautiful Bill” that GOP voted for. We are spending more on INTEREST than on anything else including the military. This is a time bomb, and the GOP is responsible. Fiscal conservative my ass","2026-02-09T00:05:37.524Z"
"0086er.bsky.social","The billboard behind Bad Bunny during this halftime performance reads: """"The only thing more powerful than hate is love."""" #SuperBowl","2026-02-09T01:33:24.514Z"
"0086er.bsky.social","How long before Trump bashes Bad Bunny","2026-02-09T01:39:18.734Z"
"0086er.bsky.social","loved every second of Bad Bunny. That message of inclusion and a celebration of cultures like Puerto Rico’s is just what America needs right now. Plus, his music just gets you in motion. 10/10","2026-02-09T01:36:25.994Z"
"0086er.bsky.social","Howard Lutnick used to be a fixture on the Sunday shows. He did more TV appearances in 2025 than anyone in the Trump admin other than Stephen Miller. But since the last Epstein drop, Lutnick has been hiding from the press.","2026-02-08T16:11:43.248Z"
