"user","post","date"
"catherineursula.bsky.social","After Tumbler Ridge shooting, false claims about trans people have proliferated online Claims about an 'epidemic' of trans shooters circulating on social media are false, expert says #Canada Stop spreading propaganda!!! Be respectful. www.cbc.ca/news/canada/...","2026-02-12T13:19:08.504Z"
"catherineursula.bsky.social","You have our prayers little Maya. ❤️ Let us never forget those who lost their lives. #heros #tumblerridge","2026-02-14T01:25:30.993Z"
"catherineursula.bsky.social","We can’t always prevent the worst, but we can decide who we are when it happens. #tumblerridge","2026-02-11T09:37:17.898Z"
"catherineursula.bsky.social","bsky.app/profile/xela...","2026-02-12T15:48:27.900Z"
"catherineursula.bsky.social","“BUT THE DOW”! I’m sorry… but how the HECK is this an appropriate response to the Epstein coverup?","2026-02-11T23:07:07.294Z"
"catherineursula.bsky.social","We mourn your profound loss with you. 💔 #tumblerridge","2026-02-11T22:48:21.376Z"
"catherineursula.bsky.social","Trump, in the middle of his latest unhinged Truth Social screed, claims that if Canada makes a trade deal with China, """"the first thing China will do is terminate ALL Ice Hockey being played in Canada, and permanently eliminate The Stanley Cup.""""","2026-02-09T23:00:54.494Z"
"catherineursula.bsky.social","This is the moment to exert pressure. www.profgalloway.com/resist-and-u...","2026-02-09T19:37:22.716Z"
"catherineursula.bsky.social","This is the most corrupt administration of all time, and everybody knows it.","2026-02-08T15:27:46.813Z"
"catherineursula.bsky.social","Sen. Ossoff on DHS","2026-01-25T18:58:34.769Z"
"catherineursula.bsky.social","www.yahoo.com/news/article...","2026-02-08T20:23:18.205Z"
"catherineursula.bsky.social","Catherine O’Hara… she was great. I always liked her attitude. I hadn’t seen this in years and a fan shared it with me. May her memory be a blessing.","2026-02-07T23:47:48.555Z"
"catherineursula.bsky.social","For reference, Barack Obama was president of the Harvard Law Review and he graduated magna cum laude. One of Trump's professors at the U.Penn undergrad business school said, “Donald Trump was the dumbest goddamn student I ever had.” This is quoted in the Chicago Tribune, Nov 3, 2017.","2026-02-07T17:14:43.297Z"
"catherineursula.bsky.social","🤭","2026-02-02T19:18:07.932Z"
"catherineursula.bsky.social","Why is france the only country doing this? Where tf is CSAM legal? Not HERE. Where is nonconsensual porn legal? So sick of all this illegal greed and excuses for immunity.","2026-02-03T14:42:06.309Z"
"catherineursula.bsky.social","bsky.app/profile/wome...","2026-02-03T23:03:03.505Z"
"catherineursula.bsky.social","#stopice #alllivesmatter","2026-02-03T23:01:49.544Z"
"catherineursula.bsky.social","This is JFK’s grandson’s response to Trump closing down the Kennedy Center.","2026-02-02T11:43:15.739Z"
