"user","post","date"
"dog-e-doo-doo.bsky.social","These are the oligarchs who seek to rule every aspect of our lives, and the current US regime is doing everything possible to facilitate that because it is owned by them.","2026-02-16T11:53:28.166Z"
"dog-e-doo-doo.bsky.social","Donald Trump’s approval numbers are in the tank, which may or may not have something to do with the fact that on multiple occasions in recent weeks he has teased the idea of somehow canceling the midterm elections.","2026-02-03T14:26:46.034Z"
"dog-e-doo-doo.bsky.social","This is what Nicolás Maduro did in Venezuela. Nationalize voting, then clamp down on journalists and appoint only partisan judges. Becoming a dictator one step at a time. 🗽","2026-02-03T13:05:06.332Z"
"dog-e-doo-doo.bsky.social","Yes, the First Amendment absolutely is under attack in America!","2026-01-30T13:51:37.866Z"
"dog-e-doo-doo.bsky.social","Jasmine Crockett: """"I am gravely concerned about Liam Ramos and all the children we were able to see. They are depressed, not getting education, not eating, throwing up, there are reports of issues with the water - his eyes never opened the entire time we were there.""""","2026-01-29T18:52:42.488Z"
"dog-e-doo-doo.bsky.social","Building low income housing and discriminating against its tenants, yes. Seriously though, this presser really tells you how much he hates those who are poor","2026-01-29T18:17:46.578Z"
"dog-e-doo-doo.bsky.social","EXACTLY 👇 THIS","2026-01-21T11:01:37.534Z"
"dog-e-doo-doo.bsky.social","To: European leaders From: Robert Reich It is impossible to appease a tyrant. Some thoughts... https://robertreich.substack.com/p/memo-to-europe-remember-neville-chamberlain","2026-01-21T02:01:13.470552Z"
"dog-e-doo-doo.bsky.social","Trump begins his speech at the World Economic Forum by saying he is addressing """"friends and a few enemies""""","2026-01-21T13:58:18.780086245Z"
"dog-e-doo-doo.bsky.social","“The street gangs,” in the words of Alan Bullock, “had seized control of the resources of a great modern State, the gutter had come to power.” But—as Hitler never ceased to boast—“legally,” by an overwhelming vote of Parliament. The Germans had no one to blame but themselves.” —William L. Shirer","2026-01-20T17:55:02.544Z"
"dog-e-doo-doo.bsky.social","#Epstein #EpsteinFiles","2026-01-17T02:23:30.275Z"
"dog-e-doo-doo.bsky.social","“The alarm was warranted. Everyone on the scene had witnessed the crossing of a crucial line in Donald Trump’s mass-deportation project: ICE had just killed an American citizen on American soil” {gift link} www.theatlantic.com/ideas/2026/0...","2026-01-11T13:03:53.598Z"
"dog-e-doo-doo.bsky.social","Philadelphia Sheriff Rochelle Bilal warns ICE: """"No law enforcement professional wears a mask... Those that come into our communities wearing a mask to commit crime... You getting arrested"""". """"Fake wannabe law enforcement... The criminal in the WH will not be able to keep you from going to jail"""".","2026-01-10T15:43:30.683Z"
"dog-e-doo-doo.bsky.social","THIS 👇 HERE","2026-01-10T10:45:45.281Z"
"dog-e-doo-doo.bsky.social","I think it is probably a bad idea to put clearly unhinged, angry psychopaths in federal law enforcement positions.","2026-01-09T14:15:26.249Z"
"dog-e-doo-doo.bsky.social","bsky.app/profile/kati...","2026-01-09T00:56:34.685Z"
"dog-e-doo-doo.bsky.social","We must LEARN from history…!!!! encyclopedia.ushmm.org/content/en/a...","2026-01-08T15:21:09.863Z"
"dog-e-doo-doo.bsky.social","It Was Cold Blooded Murder ! ICE Are Terrorists......","2026-01-08T10:29:12.188Z"
"dog-e-doo-doo.bsky.social","bsky.app/profile/cris...","2026-01-08T13:01:49.872Z"
"dog-e-doo-doo.bsky.social","bsky.app/profile/sout...","2026-01-08T13:01:14.752Z"
"dog-e-doo-doo.bsky.social","Jacob Frey: """"To ICE -- get the fuck out of Minneapolis""""","2026-01-07T18:40:50.154Z"
"dog-e-doo-doo.bsky.social","According to witnesses, this is the masked ICE agent who shot the driver in Minneapolis. He shot from the side into the vehicle. This is him walking away from the crashed vehicle.","2026-01-07T19:10:30.777Z"
"dog-e-doo-doo.bsky.social","Minneapolis Mayor says video shows DHS claims of self-defense are “bullshit.” He says ICE created the situation & made it worse. His message to ICE: “Get the fuck out of Minneapolis."""" He encourages citizens not to take the bait & rise to the occasion. """"Let's show them unity.""""","2026-01-07T18:42:52.722Z"
"dog-e-doo-doo.bsky.social","Five Years On, Trump Keeps Pushing Jan. 6 Conspiracies www.nytimes.com/2026/01/06/u...","2026-01-06T21:36:17.840Z"
"dog-e-doo-doo.bsky.social","An Inuit greeting #greenland","2026-01-05T12:14:35.451Z"
"dog-e-doo-doo.bsky.social","Four generations of my family have served our country. Service is in my blood. The President wouldn’t know anything about that.","2026-01-05T18:24:03.972Z"
"dog-e-doo-doo.bsky.social","www.independent.co.uk/news/world/a...","2026-01-05T19:02:17.257Z"
"dog-e-doo-doo.bsky.social","The faces of greedy warmonger imperialism.","2026-01-05T15:52:04.909Z"
"dog-e-doo-doo.bsky.social","Agree 💯 With Mr. Stephen King.....","2026-01-04T12:11:29.153Z"
"dog-e-doo-doo.bsky.social","Statement Bernie Sanders","2026-01-03T20:47:54.842Z"
"dog-e-doo-doo.bsky.social","THIS WAS AN ACT OF WAR AND A VIOLATION OF INTERNATIONAL LAW. But put that aside for a second… What’s wild is that Marco Rubio isn’t even pretending anymore. He’s not hiding that the invasion of Venezuela is about oil. This is going to end up a dumpster fire…","2026-01-04T17:14:20.443Z"
"dog-e-doo-doo.bsky.social","Dem lawmakers call for immediate action to ‘rein’ Trump in after Venezuela attack www.rawstory.com/venezuela-26...","2026-01-03T13:04:31.765Z"
"dog-e-doo-doo.bsky.social","🎯🎯","2026-01-02T20:21:30.099Z"
"dog-e-doo-doo.bsky.social","Trump Is Getting Weaker, and the Resistance Is Getting Stronger www.nytimes.com/2025/12/26/o...","2025-12-27T11:18:08.752Z"
"dog-e-doo-doo.bsky.social","The President of the United States is very seriously mentally ill, and elected Republicans are so afraid of him that they won’t do or say anything about it.","2025-12-26T00:13:57.504Z"
"dog-e-doo-doo.bsky.social","The malignant narcissist can’t stand America trying to have a peaceful Christmas without him.","2025-12-25T23:23:50.564Z"
"dog-e-doo-doo.bsky.social","I know I've been beating this drum for over seven years now, but Donald Trump is a very and truly sick man who should be in a mental or penal institution and certainly not the White House.","2025-12-15T16:22:08.033Z"
"dog-e-doo-doo.bsky.social","bsky.app/profile/poli...","2025-12-21T01:01:40.605Z"
"dog-e-doo-doo.bsky.social","Forcing the AG to publicly defend every redaction, line-by-line, would be a fun exercise.","2025-12-20T04:46:08.698Z"
"dog-e-doo-doo.bsky.social","My favourite bit of the Epstein Files: T■■■■ ■■■■■ ■■■■■. T■■■■ also ■■■■■, ■■■■■■, ■■■■■ & ■■■■■■ on the Isl■■■. #Epstein■■■■■ #EpsteinFiles","2025-12-19T13:23:03.386Z"
"dog-e-doo-doo.bsky.social","Garcia: This is not a real release. This is continuing a coverup that's been going on now for months.","2025-12-19T23:43:15.542Z"
"dog-e-doo-doo.bsky.social","Schiff: """"I think we ought to bring Pam Bondi before the Senate Judiciary Committee demand answers as to why the DOJ has violated the law.""""","2025-12-19T21:40:42.977Z"
"dog-e-doo-doo.bsky.social","my “yes, even the empty margins of our files are redacted” t-shirt answers a lot of questions already answered by my t-shirt","2025-12-19T21:17:05.118Z"
"dog-e-doo-doo.bsky.social","This is mental illness.","2025-12-18T19:02:45.788Z"
"dog-e-doo-doo.bsky.social","Rand Paul: """"We've never in our past decided just to shoot smugglers who are unarmed without even proof they're smuggling anything. So I think this is a horrendous thing that should stop. I think it's illegal & immoral... the kids in the military - I'm not for sending them down there to die for oil""""","2025-12-18T15:28:45.599Z"
"dog-e-doo-doo.bsky.social","Release the Epstein Files","2025-12-17T22:08:23.824Z"
"dog-e-doo-doo.bsky.social","The piece of shit in the office knows the propaganda techniques developed by Goebbels and Hitler so well: """"LIE, LIE, LIE again and again..."""" and they'll end up believing your lies and taking them for truth. Eat shit, you fuckin asshole!","2025-12-18T13:26:31.488Z"
"dog-e-doo-doo.bsky.social","Ailing wannabe dictator yelling at his people and insisting that they're getting richer and safer when all the evidence demonstrates the opposite. This is Gaddafi-levels of lunacy.","2025-12-18T02:13:36.667Z"
"dog-e-doo-doo.bsky.social","RELEASE THE EPSTEIN FILES!","2025-12-16T21:31:21.142Z"
"dog-e-doo-doo.bsky.social","The is a declaration and act of war without congressional approval, and imperialistic jingoism.","2025-12-16T23:56:42.563Z"
"dog-e-doo-doo.bsky.social",".@pabloreports.bsky.social : Were you satisfied with the answers you’ve gotten so far in this classified briefing on Venezuela? AOC: Oh, hell no. It was a joke. This was not a serious intelligence briefing. This was the communication of an opinion.","2025-12-16T19:44:22.475Z"
"dog-e-doo-doo.bsky.social","Jack Smith is testifying behind close doors because House GOP, who subpoenaed him refuse his request to testify publicly. Read the details here: open.substack.com/pub/joycevan...","2025-12-17T14:11:23.165Z"
"dog-e-doo-doo.bsky.social","AOC: I want to remind you where the real crime is. It's in the oligarchs taking $170 billion of our money from health care and food assistance and public programs and taking that and funneling it into a secret police program.","2025-12-16T16:20:45.226Z"
"dog-e-doo-doo.bsky.social","Epstein files are supposed to be released on Friday this week. Guess we'll be invading Venezuela on Thursday.","2025-12-16T13:15:21.374Z"
"dog-e-doo-doo.bsky.social","Hilarious. The WH had all the Cabinet members simultaneously put out statements supporting Susie Wiles after the Vanity Fair article came out.","2025-12-16T17:34:09.436Z"
"dog-e-doo-doo.bsky.social","What a SICK FUCK he is…!!!!","2025-12-15T21:03:28.763Z"
"dog-e-doo-doo.bsky.social","""""Deplorables"""" remains an accurate descriptor for Trump and his enablers.","2025-12-15T16:06:00.687Z"
"dog-e-doo-doo.bsky.social","25th Amendment…NOW!","2025-12-12T15:01:37.746Z"
"dog-e-doo-doo.bsky.social","ACT OF WAR… WHERE IS CONGRESS…????? www.nytimes.com/2025/12/10/u...","2025-12-10T23:07:59.442Z"
"dog-e-doo-doo.bsky.social","JOHN SINCLAIR (LIVE) Watch Now → youtu.be/cBM9UzXKXRw The new audio mixes for the entire John & Yoko performance at the John Sinclair Freedom Rally , Crisler Arena, Ann Arbor, Michigan, 10 Dec 1971 are OUT NOW in the POWER TO THE PEOPLE Deluxe Box Set → bit.ly/JOLstore","2025-12-10T19:10:21.639Z"
"dog-e-doo-doo.bsky.social","MORE SHIT HE IS HIDING.. !!!","2025-12-09T22:48:12.552Z"
"dog-e-doo-doo.bsky.social","Those who like Donald are always the last to realize he is a sociopath without any empathy, who has no concern for anyone other than himself. The rest of us realized that a long time ago.","2025-12-09T20:07:43.382Z"
"dog-e-doo-doo.bsky.social","bsky.app/profile/repu...","2025-12-09T21:48:10.091Z"
"dog-e-doo-doo.bsky.social","I thought he traded Taiwan for China’s agreement to buy soybeans. Turns out it was our advanced tech, but maybe Taiwan is coming later.","2025-12-09T00:58:01.456Z"
"dog-e-doo-doo.bsky.social","WTF… Impeach the Supreme Court as well …!!!! www.cnn.com/politics/liv...","2025-12-08T18:00:14.854Z"
"dog-e-doo-doo.bsky.social","The calls from America this weekend to """"abolish the EU"""" are for one simple reason: the EU is the only thing that can keep European nation-states from becoming Russian or American vassals.","2025-12-08T08:05:09.101Z"
"dog-e-doo-doo.bsky.social","Of course it was staged! @ernest33141.bsky.social","2025-12-05T23:49:40.073Z"
"dog-e-doo-doo.bsky.social","Yeah, all this in an effort to get the coveted Nobel Peace Prize.. what a flaming asshole.. liar, cheater and scoundrel…!!!! substack.com/@iamdonnyeva...","2025-12-04T18:08:23.143Z"
"dog-e-doo-doo.bsky.social","Senator Rand Paul…the avalanche is just beginning…","2025-12-04T16:39:33.206Z"
"dog-e-doo-doo.bsky.social","OMG! Fantastic!","2025-12-02T23:39:19.343Z"
"dog-e-doo-doo.bsky.social","When they can't even quite get a coverup straight, you know they're engaged in one lnk.thebulwark.com/3KCnNX9","2025-12-03T05:00:10.431Z"
"dog-e-doo-doo.bsky.social","✊🏾🇺🇲✊🏾🇺🇦 #ONEV1 #Pinks 🌸 #Voices4Victory","2025-12-03T08:27:15.602Z"
"dog-e-doo-doo.bsky.social","The president is falling asleep durring a White House cabinet meeting with each member praising him for his resilience. What are we doing America? This is so embarrassing.","2025-12-03T02:46:28.738Z"
"dog-e-doo-doo.bsky.social","www.dailykos.com/stories/2025...","2025-12-03T03:40:12.424Z"
"dog-e-doo-doo.bsky.social","Maybe somee more of thiss stuff will help mee spellbetter…","2025-12-03T02:29:49.031Z"
"dog-e-doo-doo.bsky.social","GET THIS AMATEUR OUT OF THERE…!!!!!","2025-12-02T23:53:18.301Z"
"dog-e-doo-doo.bsky.social","lnk.thebulwark.com/4rFblGX","2025-12-02T23:31:55.052Z"
"dog-e-doo-doo.bsky.social","👇🏻👇🏻👇🏻👇🏻","2025-11-30T21:41:15.769Z"
"dog-e-doo-doo.bsky.social","Melania the Grinch She looks bored out of her skull.","2025-11-27T23:45:37.733Z"
"dog-e-doo-doo.bsky.social","Seems like we have another Dr. Josef Mengele on our hands; wants to fuck around with children’s health… www.nytimes.com/2025/12/02/h...","2025-12-02T14:44:06.588Z"
"dog-e-doo-doo.bsky.social","Say it loud, sing it proud, people! 💙 #GoFuckYourself","2025-09-22T11:23:03.428Z"
"dog-e-doo-doo.bsky.social","🔥🎵 NASHVILLE IN HARMONY: “Better vote Tuesday!” #TN7 🎵 www.instagram.com/reel/DRuMxgg...","2025-12-01T23:06:01.298Z"
"dog-e-doo-doo.bsky.social","Good morning! Woke to find that it’s apparently now December, winter solstice within touching distance! Somehow I know I’ll dreaming of the light all day! Happy new month to you!","2025-12-01T06:33:52.223Z"
"dog-e-doo-doo.bsky.social","OMG it’s “The Ghost of Little St. James” returning just for you Donnie..Merry Christmas if you can…!","2025-12-01T00:21:15.561Z"
"dog-e-doo-doo.bsky.social","The “Ghost of Little St. James” returns…Merry Christmas Donnie…!!!","2025-11-30T00:30:36.136Z"
"dog-e-doo-doo.bsky.social","25th Amendment","2025-11-29T23:34:15.038Z"
"dog-e-doo-doo.bsky.social","Time to force CONGRESS to do its JOB for once…!!!","2025-11-29T15:35:28.127Z"
"dog-e-doo-doo.bsky.social","Impeach and remove. Indict and convict.","2025-11-29T01:13:17.774Z"
"dog-e-doo-doo.bsky.social","There’s No Doubt About It: The Great MAGA Crack-Up Has Begun Every single prominent member of the Trump administration has had a very, very bad week.","2025-11-28T16:08:47.678Z"
"dog-e-doo-doo.bsky.social","20 year-old National Guard member Sarah Beckstrom has died from her gunshot wounds. May she rest in peace.","2025-11-28T01:41:06.889Z"
