"user","post","date"
"filmalicia.bsky.social","Anyone who tells the truth, stands up to their atrocities, or is just trying to live their life without being assaulted in some way is either a """"domestic terrorist"""" or """"illegal."""" Their slanders are worn-out and tiresome. Nobody's buying any of this anymore except the ever-dwindling magat cult.","2026-02-17T23:37:33.278Z"
"filmalicia.bsky.social","Simply horrific. What are we becoming?","2026-02-18T00:00:12.420Z"
"filmalicia.bsky.social","I always have the most current references.","2026-02-17T19:51:57.055Z"
"filmalicia.bsky.social","www.boycottcitizens.org/ice","2026-02-17T20:35:23.750Z"
"filmalicia.bsky.social","It's a truth commission because our Statue of Limitations suck. UK doesn't have them at all. www.theguardian.com/us-news/2026...","2026-02-17T19:28:06.868Z"
"filmalicia.bsky.social","Rev. Jesse Jackson was an American hero. He changed the course of our nation, from marching for civil rights to building coalitions that expanded who gets to be heard in our democracy. He challenged us to believe that progress is possible, to never accept injustice, & to rise up against all odds.","2026-02-17T17:22:17.457Z"
"filmalicia.bsky.social","“I am somebody” shaped how millions of us saw ourselves as kids, including me. That message mattered. It still does. Rest in power, Jesse Jackson 🙏🏽","2026-02-17T16:40:47.299Z"
"filmalicia.bsky.social","""""Broken Laws And Disorder"""".......","2026-02-17T10:17:51.692Z"
"filmalicia.bsky.social","How is it possible that Kristi Noem still has this job. Imagine if you’re a family member or a shipmate of this guardsman. www.nbcnews.com/politics/imm...","2026-02-17T15:17:01.472Z"
"filmalicia.bsky.social","Stephen Colbert says he was told by CBS lawyers """"in no uncertain terms"""" that he could not have Texas State Rep. James Talarico on his program. """"Because my network clearly doesn't want us to talk about this, let's talk about this.""""","2026-02-17T14:15:11.636Z"
"filmalicia.bsky.social","i‘m using it for a column but i want to share here this line from lincoln on jefferson because it is applies to our situation as well. you can find it in his april 6, 1859 letter to henry l. pierce.","2026-02-16T17:11:42.508Z"
"filmalicia.bsky.social","Death comes for everyone. Robert Duvall was born to be a storyteller on screen. Gonna watch a Duvall double feature* and think about life. *I don’t even know which movies I wanna do. The man’s filmography is deep. You could cut it into thirds, and each is legendary in its own right right","2026-02-16T19:13:58.490Z"
