"user","post","date"
"bufkinite.bsky.social","PROJECTION. ffs, it's everything they say. Control the narrative by accusing someone else of your crimes first.","2026-02-18T06:17:48.258Z"
"bufkinite.bsky.social","👇","2026-02-18T05:37:03.852Z"
"bufkinite.bsky.social","In today’s dictatorship news:","2026-02-17T10:06:44.490Z"
"bufkinite.bsky.social","Nope, we will NEVER stop demanding the #Trump-EpsteinFiles #Epstein #EpsteinFiles","2026-02-17T18:38:02.165Z"
"bufkinite.bsky.social","They are moving from Colorado.","2026-02-18T00:44:55.536Z"
"bufkinite.bsky.social","So....the Fourth Reich?","2026-02-18T01:32:27.712Z"
"bufkinite.bsky.social","Why hasn’t DONALD TRUMP, BILL CLINTON, BILL GATES been arrested yet? #EPSTEINFILES #EPSTEIN","2026-02-17T04:30:00.206Z"
"bufkinite.bsky.social","Internet is working fine today......👍","2026-02-16T22:00:01.579Z"
"bufkinite.bsky.social","The DHS is holding a 2-month-old BABY at a detention facility in Texas. I cannot tell you how sick and furious this makes me. We cannot give up or give into this.","2026-02-18T00:47:50.842Z"
"bufkinite.bsky.social","Me, too!","2026-02-18T00:02:39.277Z"
"bufkinite.bsky.social","welp, this destroyed me first thing upon waking up","2026-02-06T15:13:43.538Z"
"bufkinite.bsky.social","Tell Us,Bernie......","2026-02-17T10:57:16.004Z"
"bufkinite.bsky.social","Wow.","2026-02-17T03:59:48.860Z"
"bufkinite.bsky.social","Jesse Jackson appeared on Sesame Street in 1973. During his appearance, he led a group of children in reciting his well-known poem “I Am Somebody,” a message focused on self-worth and empowerment The segment became one of the most memorable celebrity appearances from the early seasons of the show.","2026-02-17T13:30:10.171Z"
"bufkinite.bsky.social","Remember!! Epstein #epstein Epstein #epstein Epstein","2026-02-16T12:51:08.761Z"
"bufkinite.bsky.social","Are we paying attention yet??","2026-02-17T13:06:41.909Z"
"bufkinite.bsky.social","CBS wouldn’t air this interview Stephen did with James Talarico, so Stephen posted it to his YouTube channel, where it will receive 10x the viewership:","2026-02-17T13:44:16.466Z"
"bufkinite.bsky.social","Everyone. Everywhere.","2026-02-16T00:26:24.758Z"
"bufkinite.bsky.social","🎁 share.inquirer.com/ftyacX","2026-02-15T18:28:12.931Z"
"bufkinite.bsky.social","youtu.be/WvOZs3g3qIo?...","2025-06-15T17:48:56.111Z"
"bufkinite.bsky.social","A child dying of cancer spent her final days fighting to free her wrongfully detained father from ICE custody. This comes just weeks after a mother from Maryland was denied the right to be at her son’s side as he died from cancer. Not one dime for this cruelty. www.cbsnews.com/amp/chicago/...","2026-02-15T21:20:20.286Z"
"bufkinite.bsky.social","Likewise…","2026-02-15T18:16:30.833Z"
"bufkinite.bsky.social","President Obama: """"When I was president, I suppose I could have simply unilaterally ordered the military to go into some red state and harass and intimidate a governor there or cut off funding for states that didn't vote for me... but that is contrary to how I think our democracy is supposed to work""""","2026-02-15T06:06:24.907Z"
"bufkinite.bsky.social","Release the unredacted Epstein files.","2026-02-14T20:51:17.342Z"
"bufkinite.bsky.social","Trump's former attorney. """"THIS IS NOT A DRILL!""""","2026-02-13T21:21:06.188Z"
"bufkinite.bsky.social","everyone’s saying “people are NIMBYs about concentration camps” and yeah, I don’t want a concentration camp in my neighborhood, or anywhere you know who I don’t mind in my neighborhood? free immigrants, undocumented or otherwise","2026-02-13T19:48:33.008Z"
"bufkinite.bsky.social","Foolishly dangerous, & a sop to the oligarchs: www.nbcnews.com/science/clim...","2026-02-13T19:22:56.462Z"
"bufkinite.bsky.social","I'm attending No Kings's event, “NO KINGS EVANSVILLE” - sign up now to join me! www.mobilize.us/nokings/even...","2026-02-13T11:31:29.304Z"
"bufkinite.bsky.social","Today, the Trump administration repealed the endangerment finding: the ruling that served as the basis for limits on tailpipe emissions and power plant rules. Without it, we’ll be less safe, less healthy and less able to fight climate change—all so the fossil fuel industry can make even more money.","2026-02-12T19:46:12.277Z"
"bufkinite.bsky.social","Microsoft released a study showing the 40 jobs most at risk by AI:","2026-02-11T00:30:10.655Z"
"bufkinite.bsky.social","Long story short: She was too antitrust for them:","2026-02-12T17:04:27.017Z"
"bufkinite.bsky.social","Wow:","2026-02-12T15:44:48.702Z"
"bufkinite.bsky.social","I and millions of Americans believe exactly the same thing Kasparov does. Too many troops, too many new prisons, too much money not under Congressional supervision. We're not just witnessing a mass deportation scheme anymore. This is something significantly bigger and scarier.","2026-02-11T09:37:37.547Z"
"bufkinite.bsky.social","Hey, Electorate! Will you reflect on the harm we have, collectively, done to ourselves and to our standing in the world by having elected this fraudster in the first place—not to mention re-electing him after Biden had made progress repairing his first term’s damage?","2026-02-10T13:14:59.374Z"
"bufkinite.bsky.social","To the good people of Minneapolis: you amaze and inspire me every day.","2026-01-27T12:49:49.679Z"
"bufkinite.bsky.social","The arrests of journalists Don Lemon and Georgia Fort are a test for every MSM member with a platform. If you are not voicing your outrage at this blatant violation of the First Amendment, you are utterly discredited as a journalist.","2026-01-30T16:44:51.648Z"
"bufkinite.bsky.social","“This isn’t a moment, it’s a movement”","2026-01-31T13:25:08.097Z"
"bufkinite.bsky.social","Trump will not attend the Super Bowl because he can’t take being booed mercilessly. He has canceled the F-22 flyover because if he can’t be there so he’s taking his toys and going home. Meanwhile, the Pedo Bowl is being projected on buildings.","2026-02-07T15:13:12.204Z"
"bufkinite.bsky.social","Octopuses 🐙 have been wandering in the oceans for 296 million years. They have three hearts and blue blood and are amazing #MondayMorning","2026-02-09T12:05:44.028Z"
"bufkinite.bsky.social","Michelle Obama used her role as FLOTUS to expand democracy & human dignity. Melania Trump treated the role like an obligation to endure. Integrity over cruelty. Truth over noise. Leadership over ego. Make the Michelle Obama documentary #1 TODAY!! 🎥🔥 #SheShed #DefendersOfDemocracy","2026-02-01T17:42:52.036Z"
"bufkinite.bsky.social","Epstein survivors are sharing the most important ad you’ll see today. Please watch. Trump and his administration are trying to cover up this scandal, but we are not moving on from it.","2026-02-09T01:05:16.941415634Z"
"bufkinite.bsky.social","#Epstein #EpsteinFiles","2026-02-08T16:52:59.338Z"
"bufkinite.bsky.social","Happy Monday, Hippies!","2026-02-09T14:42:43.325Z"
"bufkinite.bsky.social","Good morning. The President of the United States was in the middle of the most serious child sex trafficking ring of the last quarter century. He is referenced not a dozen times in the case files. Not 100 times. Not 1,000 times. He’s referenced 38,000 times.","2026-02-08T19:50:34.455Z"
"bufkinite.bsky.social","Ya think??","2026-02-09T14:46:51.737Z"
"bufkinite.bsky.social","God Bless America. Chile, Argentina, Uruguay,Paraguay, Bolivia, Peru, Ecuador, Brazil, Colombia, Venezuela, Guyana, Panama, Costa Rica, Nicaragua, Honduras, El Salvador,Guatemala, Mexico, Cuba,Republica Dominicana, Jamaica, Haiti,Antilles, United States,Canada,& my motherland,mi patria, Puerto Rico.","2026-02-09T04:50:45.620Z"
"bufkinite.bsky.social","The agency’s plan would narrow water quality reviews and eliminate one of the few ways that tribes can their enforce treaty rights, shares Grist. buff.ly/7CAdxrz","2026-02-08T15:52:43.219Z"
"bufkinite.bsky.social","Solidarity with Unions! Protest at Palantir Ahead of Super Bowl","2026-02-08T15:45:36Z"
"bufkinite.bsky.social","𝐓𝐡𝐞𝐬𝐞 𝐚𝐥𝐥 𝐬𝐞𝐞𝐦 𝐥𝐢𝐤𝐞 𝐜𝐨𝐦𝐦𝐨𝐧 𝐬𝐞𝐧𝐬𝐞 𝐭𝐨 𝐦𝐞.","2026-02-07T17:18:08.545Z"
"bufkinite.bsky.social","OPINION: Pretending to defend free speech on university campuses, Trump intimidates academia into silence. Pretending to defend Jews, he embraces antisemites if they support him. religionnews.com/2026/01/28/t...","2026-02-07T16:01:09.184Z"
"bufkinite.bsky.social","One can always hope…","2026-02-07T16:23:59.745Z"
"bufkinite.bsky.social","OPINION: American Christians need a more robust sense of sacred connection to one another. religionnews.com/2026/01/29/i...","2026-02-07T14:30:09.670Z"
"bufkinite.bsky.social","Good Q @SarahKSilvermam","2026-02-07T03:54:20.411Z"
"bufkinite.bsky.social","A very interesting set of statistics:","2026-02-07T13:49:39.707Z"
"bufkinite.bsky.social","OBAMA: “People make excuses for him. They say he’s not serious. Everything a president says is serious!”🔥","2026-02-07T04:23:07.333Z"
"bufkinite.bsky.social","Just saw & heard “I’m With Her” for the first time, on The Colbert Show, and am gobsmacked & in happy tears at this music.","2026-02-07T02:34:54.079Z"
"bufkinite.bsky.social","Last time, it took Senile Satan four years and an attack on the US Capitol to hit these poll numbers. That’s the bar. On the floor. www.thedailybeast.com//bombshell-p...","2026-02-06T01:52:48.457Z"
"bufkinite.bsky.social","Yes, it should.","2026-02-05T18:40:44.529Z"
"bufkinite.bsky.social","IT'S COMING ... FASCISM IS IN CONTROL ... JUST LIKE PUTIN ... tRUMPSTEIN WILL GIVE HIMSELF 95% OF OUR VOTES ... 🤬🤬🤬 SO WHAT'S THE PLAN???","2026-02-06T15:03:40.015Z"
"bufkinite.bsky.social","With all the vile disgusting things trump is doing and saying, why are republicans still silent. Trump needs to be removed ASAP. Republicans are putting party before country while knowing the cost is the country itself. Why are republicans still silent? 25th Amendment the bastard.","2026-02-06T14:10:38.981Z"
"bufkinite.bsky.social","For certain he knew…","2026-02-06T16:50:34.203Z"
"bufkinite.bsky.social","Minnesota…","2026-02-05T22:02:36.035Z"
"bufkinite.bsky.social","Trump has posted on Truth Social about 65 times in the last 90 minutes, including a video he posted at 8:44 PM PT describing election fraud lies that shows racist AI images of Michelle and Barack Obama as monkeys at the end. I’ve confirmed this is real and watched it myself. 25th Amendment now.","2026-02-06T06:06:24.608Z"
"bufkinite.bsky.social","I often say that MAGAts will believe anything— except the truth. They said Hillary was running a child sex ring out of a D.C. pizzeria. Totally absurd. But when we have proof that Trump and Musk were raping kids with Epstein, they refuse to believe it. They’re irredeemable.","2026-02-01T18:56:10.023Z"
"bufkinite.bsky.social","Totally beyond delusional","2026-02-01T21:42:17.383Z"
"bufkinite.bsky.social","open.substack.com/pub/thejackh...","2026-02-06T12:37:47.037Z"
"bufkinite.bsky.social","Can’t wait until the AI bubble bursts; yes, it’s “artificial,” but no: it’s not “intelligence.”","2026-02-06T11:54:41.279Z"
"bufkinite.bsky.social","Please STOP with the horseshit “name a song that mentions the word [whatever] in its lyrics” crap. Who cares, or are y’all just showing off? Name a *love song* that mentions the word “lugubrious” in its lyrics. See?","2026-02-06T00:18:06.945Z"
"bufkinite.bsky.social","A list concentration camps by state has been outlined here. They also offer information relating to the for-profit institutions being used by DHS for purposes of holding individuals they have opted to detain - for whatever reason(s). concentrationcamps.us","2026-02-04T22:18:05.480Z"
"bufkinite.bsky.social","Yes, Peter decided that the continued existence of our democracies isn't compatible with his desired level of personal freedom. An absolute enemy of humanity.","2026-02-03T00:06:33.142Z"
"bufkinite.bsky.social","Immigrants can’t vote unless they have become American citizens.","2026-02-02T21:03:02.972Z"
"bufkinite.bsky.social","James Comer is bringing Hillary Clinton before his committee to testify about Epstein despite having zero contact with him, but not Epstein’s neighbor Howard Lutnick who lied about his connections to Epstein over many years which is proven in the files.","2026-02-04T01:36:03.037Z"
"bufkinite.bsky.social","One by one, Europeans mentioned in the Epstein files who still hold political office are beginning to resign or are being forced out of office. Meanwhile, ruled by an administration almost entirely made up of Epstein associates, the US carries on as if nothing really happened.","2026-02-03T14:39:38.800Z"
"bufkinite.bsky.social","Dear Tom Llamas: your “exclusive interview” with President Trump was a profound disservice to your viewers. I listened to him, and had trouble finding even one string of coherent sentences that actually formed a complete thought.","2026-02-04T23:44:17.706Z"
"bufkinite.bsky.social","For those seeking a thread displaying shallow intellectualism, here you go:","2026-02-04T21:33:56.677Z"
"bufkinite.bsky.social","💯","2026-02-04T20:14:28.380Z"
"bufkinite.bsky.social","Not enough. Every single ICE and CBP agent should be out of Minnesota. The terror campaign must stop. ICE must be abolished.","2026-02-04T19:55:49.026Z"
"bufkinite.bsky.social","This would be a brave & fantastic move.","2026-02-04T20:33:05.253Z"
"bufkinite.bsky.social","I don't know what's more heartbreaking...that the current president of the United States raped and very likely killed children...or that approximately 1/3rd of this country doesn't care. Either way, I weep for our country. & my heart breaks for the victims.","2026-02-04T06:11:42.803Z"
"bufkinite.bsky.social","🚨Shout Out Georgia 🚨 Please BOOST Follow and support @shawnforcongress.bsky.social SHAWN HARRIS running for Congress in #GA14 Vote on MARCH 10TH, 2026 WITH A JUNGLE OF REPUBLICANS running and SHAWN will fight for you Please donate if you can If TEXAS can beat Republicans so can SHAWN","2026-02-04T19:11:37.463Z"
"bufkinite.bsky.social","‼️‼️‼️‼️‼️","2026-02-04T18:36:18.419Z"
"bufkinite.bsky.social","How many times is #Epstein named in the Trump Files?","2026-02-04T18:46:39.895Z"
"bufkinite.bsky.social","All of these ideas for Anti-ICE protesters are good, self-protection measures.","2026-02-04T14:51:31.517Z"
"bufkinite.bsky.social","""""For much of the 2010s and likely before and since, it appears the crime rate of CBP agents and offices was higher PER CAPITA than the crime rate of undocumented immigrants in the United States."""" www.doomsdayscenario.co/p/accountabi...","2026-02-04T02:28:44.848Z"
"bufkinite.bsky.social","BREAKING: Punxsutawney Phil is under arrest for calling for six more weeks of winter. He reportedly tried to escape but only dug himself in deeper.","2026-02-03T13:24:24.050Z"
"bufkinite.bsky.social","Stephen Miller, Trump’s Deputy Chief of Staff and puppet master, is complaining about unelected judges making rulings he doesn’t like. Funny, I don’t recall Stephen Miller getting elected to any office. He didn’t even have to be nominated and confirmed for his position. Pot. Kettle. Black.","2026-02-04T05:20:28.761Z"
"bufkinite.bsky.social","@deadder.bsky.social","2026-02-03T18:10:54.663Z"
"bufkinite.bsky.social","> @governor.ny.gov","2026-02-04T11:13:04.550Z"
"bufkinite.bsky.social","And we do not forget Epstein #epstein Epstein #epstein Epstein #epstein Epstein","2026-02-04T12:42:16.131Z"
"bufkinite.bsky.social","Abolish ICE because We don't want to be occupied, attacked, Imprisoned and Killed by the Fed. Government It's that simple and that Hard","2026-02-03T16:09:23.473Z"
"bufkinite.bsky.social","I wonder how many in Congress grasp just how serious this is.","2026-02-02T21:52:23.648Z"
"bufkinite.bsky.social","NO NATIONALIZED VOTING, DONALD. We have a Constitutional right to voting. Don’t get in our way, pedophile.","2026-02-03T13:56:57.946Z"
"bufkinite.bsky.social","Sadly, this is the ICE M.O.: Assault innocent people and then tell elaborate lies to blame the victim. No judge should give any credence to anything a DHS lawyer says to them. They have proven themselves to be liars too often.","2026-02-03T06:13:46.946Z"
"bufkinite.bsky.social","Remember her name: Aliya Rahman Her testimony is everything and it deserves to be heard, by everyone. Decide for yourself. It’s powerful. It’s gut-wrenching. And no one should have to survive what she did. ICE MUST GO‼️","2026-02-03T22:10:45.943Z"
"bufkinite.bsky.social","“With their resistance to violent authoritarianism, the people of Minneapolis have renewed the spirit of Dr. King’s call for ‘the positive affirmation of peace.’” — The Nation","2026-02-03T06:05:27.822Z"
"bufkinite.bsky.social","😬","2026-02-03T15:46:59.600Z"
"bufkinite.bsky.social","They told us there was no money for healthcare. No money for kids. No money for families drowning in medical bills. But there’s always money for ICE. More cages. More raids. More cruelty. That’s not a budget problem. That’s a values problem. Fund care, not punishment. #FundHealthcareOverICE","2026-02-03T18:07:56.486Z"
"bufkinite.bsky.social","This 👇","2026-02-03T20:57:41.074Z"
"bufkinite.bsky.social","How creative!","2026-02-03T20:51:20.519Z"
"bufkinite.bsky.social","This is what happens when “free access to information” searches are privately owned algorithms.","2026-02-03T18:41:21.007Z"
"bufkinite.bsky.social","Don’s right. Let’s impeach him.","2026-02-02T23:42:32.740Z"
"bufkinite.bsky.social","Tens of thousands of Iranians killed with live weapons. The wounded shot in hospitals, doctors arrested. Detained Iranians being executed in silence to this day. This crime against humanity is real and dire, it needs to be admitted and talked about. #Iran #FreeIran #IranMassacre #IRGCterrorists","2026-02-01T19:47:06.654Z"
"bufkinite.bsky.social","yo, upcoming Actor's Award and Oscar winners... ...your music industry peers are teaching you a lesson or two tonight about speaking out for whats right","2026-02-02T02:21:16.686Z"
"bufkinite.bsky.social","A warning. He can’t NOT say the quiet part out loud:","2026-02-02T19:30:08.369Z"
"bufkinite.bsky.social","Wow! YES!","2026-02-02T18:12:41.785Z"
"bufkinite.bsky.social","In between all the fascism, it's also a MASSIVE crime wave.","2026-02-01T20:31:12.548Z"
"bufkinite.bsky.social","#blackhistorymonth","2026-02-02T14:56:56.555Z"
"bufkinite.bsky.social","Don Lemon """"ransacked a church"""". Good and Pretti were """"violent domestic terrorists"""", and somehow Obama joined forces with Cuba, China and Italy to rig the 2020 election. If only they treated actual problems with the gravity and seriousness they do with their lies...","2026-01-31T02:53:46.027Z"
"bufkinite.bsky.social","As Black History Month begins, we honor the generations of Black New Yorkers who built this city into the “gorgeous mosaic” we call home. Today, we reflect on the words of Mayor David Dinkins: our city’s first Black mayor (and a democratic socialist!).","2026-02-01T14:11:44.035Z"
"bufkinite.bsky.social","Yes, we need ALL the Epstein files.","2026-01-31T17:34:51.903Z"
"bufkinite.bsky.social","If 26 Americans or Israelis or Germans were murdered today, it would be the top headline on every network. They keep telling you “the war is over” while this happens, because their idea of a peaceful, “normal” order is one where Israel gets to mass murder Palestinians at will.","2026-01-31T14:17:43.300Z"
"bufkinite.bsky.social","There’s no justification for shooting someone ten times in the back. There’s no justification for shooting someone ten times in the back. The debate about what Alex Pretti did or didn’t do is irrelevant. The agents committed murder. It wasn’t a “bad shoot”. It was a killing","2026-01-31T11:00:36.050Z"
"bufkinite.bsky.social","It hasn’t gone unnoticed that all four people arrested today, including two journalists, were Black. And now we find out the charge is “conspiracy to violate civil rights,” a statute rooted in the Ku Klux Klan Act. Sit with that.","2026-01-30T22:02:12.628Z"
"bufkinite.bsky.social","Now we know why they didn’t want to release the Epstein files. Because they’re all in them.","2026-01-30T21:04:47.913Z"
"bufkinite.bsky.social","We’re not good enough for dogs: youtube.com/shorts/CD99R...","2026-01-30T23:01:25.563Z"
"bufkinite.bsky.social","The Pattison sale to ICE isn't a done deal yet. Keep up the pressure. #bcpoli #cdnpoli #fuckice vancouversun.com/news/jim-pat...","2026-01-30T00:18:34.943Z"
"bufkinite.bsky.social","The arrests of Don Lemon, Georgia Fort, and Jamael Lundy are unacceptable and a clear violation of the Constitution. This is a dangerous abuse of power that threatens the rights of every single American. They must be released immediately.","2026-01-30T16:54:46.817Z"
"bufkinite.bsky.social","Lady Gaga has put out a gorgeous anthem for Minneapolis. youtu.be/e3o5FIXoK84?...","2026-01-29T19:16:37.891Z"
"bufkinite.bsky.social","👇👇","2026-01-30T14:42:14.453Z"
"bufkinite.bsky.social","Cool forensic archaeology.","2026-01-29T19:42:23.754Z"
"bufkinite.bsky.social","Because from the beginning, the mission was based on cruelty. www.cnn.com/2026/01/29/u...","2026-01-29T15:28:20.575Z"
"bufkinite.bsky.social","This number DOES NOT include those starved, crushed, missing or killed by disease resulting from the attack.","2026-01-29T17:36:09.636Z"
"bufkinite.bsky.social","Wouldn’t it, though??","2026-01-29T13:08:33.372Z"
"bufkinite.bsky.social","More and more Americans are voicing their outrage at the tactics being deployed by federal agents in Minnesota. But it’s important to understand the broader implications of what this administration is doing, and the threat it poses to the basic freedoms of every American.","2026-01-28T15:02:30.323Z"
"bufkinite.bsky.social","The president of the United States had his Justice Dept. raid an election office and seize ballots in order to cast doubt on an election he lost. Yet, this is treated by legacy media as just another normal day. I founded Democracy Docket because you deserve better. Subscribe now. hubs.ly/Q03M8rql0","2026-01-29T03:01:38.517Z"
"bufkinite.bsky.social","The movement now has its own “Ohio” thanks to Bruce Springsteen‘s “Streets of Minneapolis”: youtu.be/wWKSoxG1K7w?...","2026-01-29T00:44:35.951Z"
"bufkinite.bsky.social","GEORGIA — @ossoff.senate.gov : “This is a SEISMIC event. This should have people across 🇺🇸 absolutely shook. This is an FBI raid on the Fulton County elections office… this is a shot across the bow at the midterm elections.” (H/T @atrupar.com )","2026-01-29T05:46:12.117Z"
"bufkinite.bsky.social","Succinct:","2026-01-29T12:11:16.349Z"
"bufkinite.bsky.social","""""A Pretti Good reason to strike."""" More information: www.nationalshutdown.org","2026-01-29T01:35:18.143Z"
"bufkinite.bsky.social","I have taken the lead to file articles of impeachment on Kristi Noem. I will continue to take the lead on seeing through our commitment to democracy. Together we will stand up to fascism.","2026-01-28T01:47:07.188Z"
