"user","post","date"
"silverscorpion77.bsky.social","For those having a hard time today, you are loved.","2026-02-14T18:07:59.773Z"
"silverscorpion77.bsky.social","Happy Galentine's Day to all the single superheros 💕","2026-02-14T17:49:43.604Z"
"silverscorpion77.bsky.social","www.nbcnews.com/news/us-news...","2026-02-11T14:41:31.161Z"
"silverscorpion77.bsky.social","Mamdani: """"I speak of Renee Good, whose final words to the man who murdered her were, 'I'm not mad at you.' I speak of Alex Pretti who died as he lived, caring for the stranger. ICE shot him bc he did something they could never fathom ... let us offer a new path: one of defiance through compassion.""""","2026-02-06T16:01:12.704Z"
"silverscorpion77.bsky.social","Repost. Post your own version On EVERY PLATFORM. MARCH 28th SAVE THE DATE PARTICIPATE IN PERSON NO KINGS","2026-02-03T15:44:18.067Z"
"silverscorpion77.bsky.social","constitution.congress.gov/browse/essay... I’m just going to leave this here","2026-01-27T14:03:39.451Z"
"silverscorpion77.bsky.social","Anyone know if this is actually true? (Yeah I could look it up but this is more fun... you guys know a lot!!)","2026-01-27T02:39:03.250Z"
"silverscorpion77.bsky.social","Minneapolis Police Chief Brian O'Hara: """"People have had enough. This is the third shooting in less than 3 weeks. The MPD went the entire year last year recovering about 900 guns from the street, arresting hundreds of violent offenders, and we didn't shoot anyone ... this is not sustainable.""""","2026-01-25T15:47:39.198Z"
"silverscorpion77.bsky.social","This","2026-01-21T04:30:19.657Z"
"silverscorpion77.bsky.social","www.npr.org/2025/12/12/n...","2025-12-13T02:45:25.043Z"
"silverscorpion77.bsky.social","Heh...","2025-12-07T15:13:57.868Z"
"silverscorpion77.bsky.social","Let's try !","2025-12-07T15:15:00.420Z"
"silverscorpion77.bsky.social","Yes!","2025-11-03T15:09:18.539Z"
"silverscorpion77.bsky.social","New look for a new life","2025-10-24T23:44:54.431Z"
"silverscorpion77.bsky.social","🥸","2025-10-23T13:28:28.872Z"
"silverscorpion77.bsky.social","Might be a good idea","2025-10-20T01:50:51.446Z"
"silverscorpion77.bsky.social","#A_NewHope ✊","2025-10-18T19:33:02.105Z"
"silverscorpion77.bsky.social","@number10cat.bsky.social","2025-10-18T23:27:24.578Z"
"silverscorpion77.bsky.social","I hope that this is true. No Kings Rally. Duluth Minnesota. Great turnout and wonderful vibe.","2025-10-18T23:27:40.612Z"
"silverscorpion77.bsky.social","www.nbcnews.com/news/us-news...","2025-10-18T23:34:30.175Z"
"silverscorpion77.bsky.social","The 3.5% rule Research by Harvard political scientist Erica Chenoweth found that no government has been able to withstand a nonviolent challenge involving 3.5% of the population. Today, an estimated 3.3-4.6 million protestors showed up to protest tyranny. The protests get bigger every time.","2025-10-18T23:31:04.807Z"
"silverscorpion77.bsky.social","@stoopidfunnyjokes.bsky.social","2025-10-17T02:08:18.597Z"
"silverscorpion77.bsky.social","Turning the People's House The White into a Red Velvet Gold plated Russian Decorated Pedofile Palace PedoFile=1 Who Rapes Children of Innocence #WhenFBIProtectsChildrenLikeBanksAmericaWillBeGreat! #MakeDJTFamousReleaseTheTrumPedoFiles","2025-10-15T14:26:58.832Z"
"silverscorpion77.bsky.social","These are my final art pieces for my color and design class. Super pleased with how they came out","2025-10-15T14:29:19.586Z"
"silverscorpion77.bsky.social","He deserves a 🍺","2025-10-14T03:45:49.070Z"
"silverscorpion77.bsky.social","""""Courage is resistance to fear.""""","2025-10-14T02:03:53.159Z"
"silverscorpion77.bsky.social","Here’s the deal, Mike Johnson, you worked 9 days since July, make $200K, and get best free healthcare we pay for, while shutting down ours. Want it fair? Start with your paychecks. No work, no pay and no damn free healthcare for any of you. Let Congress feel the pain they dump on the rest of us.","2025-10-14T02:22:14.556Z"
"silverscorpion77.bsky.social","Anyone come to mind?","2025-10-12T13:22:41.847Z"
"silverscorpion77.bsky.social","The people who want violent protests to happen are Trump, Stephen Miller, Kristi Noem, Pete Hegseth, Tom Homan, and other senior appointees in his admin. They are doing everything they possibly can to provoke people to violence and it is obvious that is what they hope for daily.","2025-10-12T13:32:48.483Z"
"silverscorpion77.bsky.social","The hush money payoff to Stormy Daniels cost more than house Leticia James bought for her grand niece.","2025-10-11T17:00:13.764Z"
"silverscorpion77.bsky.social","Translation: “We’re going to fix your car by setting it on fire and giving you a scooter.”","2025-10-09T12:41:18.846Z"
"silverscorpion77.bsky.social","Prosecution of Comey looks headed to a dead end. """"Federal prosecutors ... determined that a central witness in their probe would ... likely prevent them from establishing their case to a jury."""" abcnews.go.com/US/central-w...","2025-10-08T11:26:22.171Z"
"silverscorpion77.bsky.social","I will be the first to admit: I am scared. I am scared of what Trump is doing to our country, our communities, and our neighbors. But just because I am scared does not mean I am helpless. Instead, I will stand up and speak out, Marc Elias writes.","2025-10-08T11:30:07.009785644Z"
"silverscorpion77.bsky.social","We ❤️ Love Our Women,We Only Wish They Were In Charge Of THE WORLD.......","2025-10-08T11:39:42.471Z"
"silverscorpion77.bsky.social","ICE Protest sign in Chicago this weekend.","2025-10-05T15:32:04.441Z"
"silverscorpion77.bsky.social","They wanted to run America like a business. They chose a CEO with a history of financial fraud who had bankrupted many of his businesses. Ergo, we have Trump shutdown #3.","2025-10-01T12:50:10.621Z"
"silverscorpion77.bsky.social","This is pretty unbelievable. Qatar giving Trump that jet is really paying off for them in a big way.","2025-10-01T13:07:07.226Z"
"silverscorpion77.bsky.social","I can promise you that they can’t. They can lie and try to smooth it over but historians know the truth and are preserving it. My son is one of them.","2025-09-28T13:30:57.056Z"
"silverscorpion77.bsky.social","Targeted by ICE Being a street vendor isn’t easy… bad weather, long hours and dealing with perishables make this a hard knock life. And then comes ICE. The hot dog man, the flowers lady, the taco seller… people erased. .. by ICE. They’re not criminals. They’re your neighbors.","2025-09-28T12:04:21.130Z"
"silverscorpion77.bsky.social","The unsung heroes of America: lifelong agency workers at Social Security, Medicare, VA and so many other agencies who are staying there to ensure the American people are taken care of. They didn’t have to stay. They are being worked into the ground. Thank you with all of my heart.🙏","2025-09-28T12:13:47.479Z"
"silverscorpion77.bsky.social","This… 👇🏼 #bluesky","2025-09-27T11:58:52.376Z"
"silverscorpion77.bsky.social","Well done, Kristi Noem, she who, btw, STILL has not had to publicly answer for the racial profiling policies at DHS that resulted in this disaster. Can no enterprising reporter confront her about this international disaster?","2025-09-25T13:34:14.487Z"
"silverscorpion77.bsky.social","GOP: We protect kids! So—ban child labor? GOP: No Ban child marriages? GOP: No Ban children from carrying guns? GOP: No Ban gun sales w/o background checks? GOP: No Then how exactly do protect kids?🤔 GOP: We ban books, discussions on racism, drag, free school lunch, & Tylenol.","2025-09-24T01:41:59.117Z"
"silverscorpion77.bsky.social","I’m going to miss my neighbor. Happy Rapture! 🙏","2025-09-24T01:54:30.080Z"
"silverscorpion77.bsky.social","Call me crazy, but I’m pretty sure that taking your medical advice from a conspiracy theorist, a tv doc and a reality gameshow host might just be a really fucking bad idea.","2025-09-22T22:07:24.082Z"
"silverscorpion77.bsky.social","No matter how shitty your day is, always be nice. Like instead of saying STFU, try saying “please sir, will you kindly STFU”. Kindness is my passion","2025-09-22T11:18:25.862Z"
