"user","post","date"
"baggytrousers1.bsky.social","So Shelagh Fogarty, that is a u-turn from Reform, isn't it? Not mentioned by Aggie whatsername, of course, as she & Sun hack Natasha (haitch) Clark are v right wing. Like almost rest of LBC. Shelagh tippy toeing down that path I feel, following orders, to install Farage in No 10. UK media are shite.","2026-02-18T13:23:25.630Z"
"baggytrousers1.bsky.social","Verminous fascist lout","2026-02-07T21:27:18.032Z"
"baggytrousers1.bsky.social","Has the cheating conman Mandelson been arrested yet or are we all still subsidising yet another of Epstein’s pals?","2026-02-18T13:24:35.177Z"
"baggytrousers1.bsky.social","The MSM oft controlled from abroad. The Mail, owned by ‘Lord’ Rotheremere - lives in France, identifies as French, pays no tax in the UK and yet dictates fascist editorial policy. Ex pats owning UK media should be outlawed and illegal. Yet the gullible UK knuckledraggers fall for the lies every time","2026-02-09T17:01:48.719Z"
"baggytrousers1.bsky.social","Has the lying cheating Mandelson been arrested yet ?","2026-02-12T13:40:54.744Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-15T18:05:41.966Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-15T18:15:41.244Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-15T18:28:11.726Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-15T18:29:35.680Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-15T18:39:34.437Z"
"baggytrousers1.bsky.social","If there is anything that signifies the moral collapse of this country it is the insignificant and morally bereft John Redwood being given a peerage.","2026-02-13T10:11:27.440Z"
"baggytrousers1.bsky.social","If there is anything that signifies the moral collapse of this country it is the insignificant and morally bereft John Redwood being given a peerage.","2026-02-13T10:11:27.440Z"
"baggytrousers1.bsky.social","Jim Radcliffe’s comments are a disgrace. This is a man who closed his Grangemouth business to move to Belgium with a massive grant paid for by your and my taxes. He moved to Monaco to avoid paying taxes here. He repeatedly espouses the nonexistent benefits of Brexit. He is nothing but a parasite.","2026-02-12T13:03:00.578Z"
"baggytrousers1.bsky.social","Because he’s a privileged elitist conman who mixes with privileged elitist politicians and is able to manipulate them for his own gain……..leaving ordinary tax payers to pick up the bill. A disgusting man lacking any morality on a par with Dyson, Mone, Johnson, Gove, Hancock et al.","2026-02-12T21:50:13.577Z"
"baggytrousers1.bsky.social","Why does the rest of the UK have to pay for a new stadium in Manchester for a club worth £millions?? #ScottishIndependence","2026-02-12T21:35:18.243Z"
"baggytrousers1.bsky.social","The UK has been invaded by billionaire migrants who refuse to pay tax and want to feed of the UK tax payer. Football teams should be paying for everything because they are the only ones that can afford it.","2026-02-12T16:11:26.642Z"
"baggytrousers1.bsky.social","Jim Ratcliffe who settled in Monaco just after receiving a knighthood is seeking support from the UK government worth hundreds of millions of pounds to build a stadium for Man Utd. His move to Monaco is estimated to have cost the UK Treasury between £440m and £4bn in lost tax revenue. #Corrupt","2026-02-12T15:41:55.299Z"
"baggytrousers1.bsky.social","And he was in favour of Brexit. Then scuttled off to Monaco after the referendum to avoid taxes. Then announced the Grenadair plant which prior to Brexit was to be built in Wales was now going to be in France. A fraud and a parasite.","2026-02-12T15:50:27.382Z"
"baggytrousers1.bsky.social","Jim Ratcliffe who settled in Monaco just after receiving a knighthood is seeking support from the UK government worth hundreds of millions of pounds to build a stadium for Man Utd. His move to Monaco is estimated to have cost the UK Treasury between £440m and £4bn in lost tax revenue. #Corrupt","2026-02-12T15:41:55.299Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:08:41.135Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:08:56.600Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:09:40.525Z"
"baggytrousers1.bsky.social","First Minister @johnswinney.bsky.social: """"We now know the UK Government is useless. We know it from Mr Sarwar [who's] told us how the useless the UK prime minister is."""" #FMQs","2026-02-12T13:09:53.493Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:10:28.819Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:10:40.531Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:10:47.210Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:10:52.555Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:11:02.037Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:12:09.582Z"
"baggytrousers1.bsky.social","Enough is enough. The House of Lords is a rolling scandal - sign @electoralreform.bsky.social‬'s call to demand change. It takes 30 seconds. action.electoral-reform.org.uk/page/186062/...","2026-02-12T13:12:19.997Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:12:38.838Z"
"baggytrousers1.bsky.social","First Past the Post can no longer deliver real mandates - only chaos. 60% of Brits want it scrapped. Yet the Representation of the People Bill won’t even touch our voting system, which leaves millions unrepresented. Tell Keir Starmer to change this. actionnetwork.org/petitions/th...","2026-02-12T13:14:06.421Z"
"baggytrousers1.bsky.social","Now that Jim Ratcliffe has 'apologised' for his racist, anti-immigrant comments will those who rushed to support & defend him also apologise? A whole host of right-wing attention seekers such as Liz Truss & Nigel Farage & more need to be called out on Ratcliffe's remarks.","2026-02-12T13:14:32.455Z"
